frequency,cf1,cf2,cf3,cf4
730.897726,0.612082044,0.583884808,0.049683409,0.299612343
732.826216,0.624843158,0.588380047,0.047535304,0.300298521
734.754706,0.636236216,0.592019834,0.04545209,0.301146041
736.683196,0.646046342,0.594301434,0.046543458,0.302073208
738.611686,0.654836614,0.594950044,0.044527568,0.301887773
740.540176,0.663520202,0.594292847,0.042546401,0.301490454
742.468666,0.672689027,0.5932395,0.040606276,0.300834141
744.397156,0.682513207,0.592528975,0.038702295,0.299941093
746.325647,0.692953748,0.592363516,0.028637935,0.298846413
748.254137,0.703295019,0.592752949,0.026917302,0.29762959
750.182627,0.712134779,0.59371079,0.025245493,0.296474524
752.111117,0.718696197,0.595220598,0.023649997,0.295601052
754.039607,0.72353376,0.597078101,0.022144663,0.295112979
755.968097,0.72778939,0.598658119,0.020718478,0.294914734
757.896587,0.732397842,0.599486057,0.021276413,0.294799432
759.825077,0.737831646,0.600117409,0.019919802,0.294638935
761.753567,0.74423929,0.601357132,0.0193246,0.294411358
763.682057,0.751870447,0.602857167,0.018002761,0.294057688
765.610547,0.761151813,0.603768063,0.018474461,0.293459029
767.539037,0.77199495,0.604131127,0.017141356,0.292581028
769.467527,0.783090797,0.604655883,0.018617259,0.291545919
771.396017,0.792348694,0.605927517,0.017350897,0.290533257
773.324507,0.798497939,0.608033156,0.016146021,0.289647121
775.252997,0.802163104,0.610394978,0.014996824,0.288880222
777.181487,0.804675544,0.612437623,0.014718392,0.288201356
779.109977,0.806380841,0.614322555,0,0.28764328
781.038467,0.807522682,0.616301929,0,0.2872425
782.966957,0.809867872,0.618110006,0,0.286944164
784.895447,0.815467935,0.619671908,0,0.286658403
786.823937,0.820705902,0.621506746,0,0.286364403
788.752427,0.827365582,0.624100637,0,0.286084211
790.680918,0.834064714,0.627530169,0,0.285816098
792.609408,0.840806098,0.631585183,0,0.285561804
794.537898,0.847846323,0.635939753,0,0.285348458
796.466388,0.8544537,0.640354012,0,0.285188273
798.394878,0.859379829,0.64459677,0,0.285076743
800.323368,0.862617375,0.648363467,0,0.285034408
802.251858,0.865658362,0.651745967,0,0.285099949
804.180348,0.869698351,0.655377861,0,0.285278315
806.108838,0.874923227,0.659711499,0,0.285522999
808.037328,0.88157092,0.664608134,0,0.28577805
809.965818,0.889987745,0.669732058,0,0.286021299
811.894308,0.899676229,0.674887676,0,0.286246667
813.822798,0.909401847,0.679998778,0,0.286417784
815.751288,0.918024933,0.68503411,0,0.286499036
817.679778,0.925069941,0.690001123,0,0.286536353
819.608268,0.930982265,0.694988967,0,0.286640682
821.536758,0.936793158,0.700044009,0,0.286870745
823.465248,0.943220598,0.704933355,0,0.28716148
825.393738,0.950162697,0.709259516,0,0.287377197
827.322228,0.957106039,0.712831427,0,0.287449554
829.250718,0.963801825,0.715689777,0,0.287422893
831.179208,0.970336679,0.717886084,0,0.287321381
